
> bazar_bugalter@0.1.0 dev
> next dev

▲ Next.js 16.1.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.35.34.247:3000
- Environments: .env

✓ Starting...
✓ Ready in 737ms
 GET /owner/overview 200 in 36ms (compile: 19ms, render: 17ms)
 GET /owner/spaces 200 in 38ms (compile: 23ms, render: 15ms)
 GET /owner/tenants 200 in 25ms (compile: 6ms, render: 20ms)
 GET /owner/contracts 200 in 24ms (compile: 6ms, render: 18ms)
 GET /owner/payments 200 in 25ms (compile: 6ms, render: 19ms)
 GET /owner/overview 200 in 30ms (compile: 6ms, render: 24ms)
 GET /owner/spaces 200 in 40ms (compile: 11ms, render: 29ms)
 GET /owner/spaces/new 200 in 64ms (compile: 50ms, render: 14ms)
 GET /owner/payments 200 in 25ms (compile: 6ms, render: 19ms)
 GET /owner/tenants 200 in 27ms (compile: 7ms, render: 20ms)
 GET /owner/contracts 200 in 36ms (compile: 6ms, render: 30ms)
 GET /owner/tenants 200 in 24ms (compile: 5ms, render: 19ms)
 GET /owner/contracts 200 in 49ms (compile: 12ms, render: 38ms)
 GET /owner/overview 200 in 27ms (compile: 7ms, render: 20ms)
 GET /owner/overview 200 in 119ms (compile: 41ms, render: 78ms)
 GET /owner/overview 200 in 60ms (compile: 12ms, render: 49ms)
 GET /owner/spaces 200 in 37ms (compile: 10ms, render: 27ms)
 GET /owner/overview 200 in 28ms (compile: 7ms, render: 21ms)
